Location,Type,Category,Description,Price,Date,Rooms,Surface
Sidi Daoud,Bureaux & Commer,Atelier,Suite à zone industrielle sid,2 500,19/12/2024,N/A,250 m²
Cite El Khalil,Location,App. 1 pièc,Petite studio s0 vide aux cit,650,19/12/2024,0,27 m²
Residence Zahre,Location,App. 3 pièc,Occasion d or,600,19/12/2024,2,103 m²
Hammamet,Vente,Maisons,Villa aux allentours de,550 000,19/12/2024,N/A,400 m²
El Manar 1,Location,App. 1 pièc,Aux manar 1 studio open space,650,19/12/2024,0,35 m²
Jardins de Cart,Location,App. 3 pièc,S2 meublé aux jardins de,2 800,19/12/2024,2,1 m²
Hammamet,Location,App. 2 pièc,S plus 1 a el hammam,500,19/12/2024,1,50 m²
La Soukra,Bureaux & Commer,Bureau,Un bureau à la soukr,750,19/12/2024,N/A,40 m²
Carthage,Location,Maisons,Villa s3 avec piscine à,8 500,19/12/2024,3,1 m²
Ain Zaghouan,Location,App. 2 pièc,Un appartement s2 vide à,1 200,19/12/2024,1,1 m²
Borj Cedria,Location,App. 3 pièc,Appartement meublé borj,1 500,19/12/2024,2,100 m²
Zone Hoteliere,Terrain,Terrain agr,Train 312 m  hammamet su,78 000,19/12/2024,N/A,312 m²
La Soukra,Location,Maisons,Une villa avec piscine à,4 700,19/12/2024,N/A,N/A
El Mourouj,Vente,Maisons,Maison trois niveaux,225 000,19/12/2024,N/A,270 m²
El Mourouj,Location,Maisons,Rdc d'une maison mrj 3,480,19/12/2024,N/A,70 m²
Bizerte,Vente,App. 3 pièc,Villa villa,700 000,19/12/2024,2,600 m²
Bizerte,Location,App. 1 pièc,Local commercial,3 000,19/12/2024,0,N/A
Jardins de Cart,Location,App. 1 pièc,Un appartement s1 meublé,1 500,19/12/2024,0,1 m²
Cite Ain Mariem,Vente,App. 2 pièc,Appartement ain mariem b,270 000,19/12/2024,1,290 m²
Khelidia,Vente,Maisons,Maison à khelidia,200 000,19/12/2024,N/A,191 m²
Bou Mhel,Terrain,Terrain nu,Terrain à boumhel,90 000,19/12/2024,N/A,225 m²
Ain Zaghouan,Location,App. 3 pièc,Appartement s2 à ain zag,1 200,19/12/2024,2,1 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 courte durée,630,19/12/2024,1,N/A
Cite Taher Hadd,Terrain,Terrain nu,Terrain nu à mourouj4,97 000,19/12/2024,N/A,96 m²
Kalaa Essghira,Terrain,Terrain nu,Terrain 1075m zone des v,483 750,19/12/2024,N/A,1 075 m²
Riadh Landlous,Location,App. 2 pièc,S1 neuf richement meublé,1 250,19/12/2024,1,N/A
Khezama Ouest,Terrain,Terrain nu,Lot 694m derrière carref,867 500,19/12/2024,N/A,694 m²
Cite Ennasr 2,Location,App. 2 pièc,Superbe s1 entièrement m,1 300,19/12/2024,1,N/A
El Mourouj,Vente,Maisons,Maison r 2 mrj 3,360 000,19/12/2024,N/A,250 m²
Marsa Safsaf,Location vacance,App. 2 pièc,Comme chez vous pour des,350,19/12/2024,1,55 m²
Mohamadia,Terrain,Terrain nu,Terrain a lmhamdia,60 000,19/12/2024,N/A,127 m²
Mutuelle Ville,Location,App. 5 pièc,S4 neuf pour habitation,2 400,19/12/2024,4,N/A
Marsa Safsaf,Location,App. 2 pièc,Appartement vu sur mère a la,3 600,19/12/2024,1,50 m²
El Mourouj,Vente,Maisons,Maison r 2 mrj 3,360 000,19/12/2024,N/A,250 m²
Marsa Safsaf,Location vacance,App. 2 pièc,Comme chez vous pour des,350,19/12/2024,1,55 m²
Mohamadia,Terrain,Terrain nu,Terrain a lmhamdia,60 000,19/12/2024,N/A,127 m²
Mutuelle Ville,Location,App. 5 pièc,S4 neuf pour habitation,2 400,19/12/2024,4,N/A
Marsa Safsaf,Location,App. 2 pièc,Appartement vu sur mère a la,3 600,19/12/2024,1,50 m²
Cite Du Stade,Vente,Maisons,Villa a la marsa,1 000 000,19/12/2024,N/A,350 m²
Cite Du Stade,Vente,Maisons,Maison a la marsa ville,1 400 000,19/12/2024,N/A,538 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 haut standing,970,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 2 pièc,Bel s1 haut standing,900,19/12/2024,1,N/A
El Menzah 9,Location,App. 3 pièc,S2 très haut standing,1 400,19/12/2024,2,N/A
El Menzah 9,Location,Maisons,Duplex de haut standing,2 000,19/12/2024,N/A,N/A
Charguia 2,Location,App. 5 pièc,Immense demeure avec pis,8 500,19/12/2024,4,N/A
El Menzah 1,Location,Maisons,Superbe villa avec pisci,6 000,19/12/2024,N/A,N/A
Mutuelle Ville,Vente,Maisons,Villa sur artère princip,1 950 000,19/12/2024,N/A,800 m²
Cite Ennacim,Location,Maisons,Etage de villa s2 me,1 000,19/12/2024,2,110 m²
Jardins de Cart,Location,App. 2 pièc,S1 meublé aux jardins de,1 500,19/12/2024,1,1 m²
Berge Du Lac,Location,Maisons,Villa s5 avec piscine au,8 000,19/12/2024,5,550 m²
Marsa Ennassim,Location,Maisons,Villa s4 à la marsa mvl1,5 000,19/12/2024,4,400 m²
Sidi Daoud,Location,Maisons,Villa s4 avec piscine à,4 000,19/12/2024,4,1 m²
Ain Zaghouan,Location,App. 1 pièc,Studio avec jardins burea,800,19/12/2024,0,60 m²
Cite Ennasr 2,Location,App. 1 pièc,Particulier l s1 meublé,1 200,19/12/2024,0,75 m²
El Aouina,Location,App. 1 pièc,S plus 1 meuble el wahat aoui,1 350,19/12/2024,0,70 m²
El Aouina,Location,App. 2 pièc,S2 meublé pour étranger,1 250,19/12/2024,1,104 m²
Sidi Bou Ali,Terrain,Terrain agr,Ferme 14252 avec villa s,300 000,19/12/2024,N/A,14 252 m²
El Menzah 9,Vente,Maisons,Villa jumlee a menzah 9c,1 200 000,19/12/2024,N/A,350 m²
Carthage,Location,Maisons,Villa s3 avec piscine à,8 500,19/12/2024,3,1 m²
Ain Zaghouan,Location,App. 2 pièc,Un appartement s2 vide à,1 200,19/12/2024,1,1 m²
Borj Cedria,Location,App. 3 pièc,Appartement meublé borj,1 500,19/12/2024,2,100 m²
Zone Hoteliere,Terrain,Terrain agr,Train 312 m  hammamet su,78 000,19/12/2024,N/A,312 m²
La Soukra,Location,Maisons,Une villa avec piscine à,4 700,19/12/2024,N/A,N/A
El Mourouj,Vente,Maisons,Maison trois niveaux,225 000,19/12/2024,N/A,270 m²
El Mourouj,Location,Maisons,Rdc d'une maison mrj 3,480,19/12/2024,N/A,70 m²
Bizerte,Vente,App. 3 pièc,Villa villa,700 000,19/12/2024,2,600 m²
Bizerte,Location,App. 1 pièc,Local commercial,3 000,19/12/2024,0,N/A
Jardins de Cart,Location,App. 1 pièc,Un appartement s1 meublé,1 500,19/12/2024,0,1 m²
Cite Ain Mariem,Vente,App. 2 pièc,Appartement ain mariem b,270 000,19/12/2024,1,290 m²
Khelidia,Vente,Maisons,Maison à khelidia,200 000,19/12/2024,N/A,191 m²
Bou Mhel,Terrain,Terrain nu,Terrain à boumhel,90 000,19/12/2024,N/A,225 m²
Ain Zaghouan,Location,App. 3 pièc,Appartement s2 à ain zag,1 200,19/12/2024,2,1 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 courte durée,630,19/12/2024,1,N/A
Cite Taher Hadd,Terrain,Terrain nu,Terrain nu à mourouj4,97 000,19/12/2024,N/A,96 m²
Kalaa Essghira,Terrain,Terrain nu,Terrain 1075m zone des v,483 750,19/12/2024,N/A,1 075 m²
Riadh Landlous,Location,App. 2 pièc,S1 neuf richement meublé,1 250,19/12/2024,1,N/A
Khezama Ouest,Terrain,Terrain nu,Lot 694m derrière carref,867 500,19/12/2024,N/A,694 m²
Cite Ennasr 2,Location,App. 2 pièc,Superbe s1 entièrement m,1 300,19/12/2024,1,N/A
El Mourouj,Vente,Maisons,Maison r 2 mrj 3,360 000,19/12/2024,N/A,250 m²
Marsa Safsaf,Location vacance,App. 2 pièc,Comme chez vous pour des,350,19/12/2024,1,55 m²
Mohamadia,Terrain,Terrain nu,Terrain a lmhamdia,60 000,19/12/2024,N/A,127 m²
Mutuelle Ville,Location,App. 5 pièc,S4 neuf pour habitation,2 400,19/12/2024,4,N/A
Marsa Safsaf,Location,App. 2 pièc,Appartement vu sur mère a la,3 600,19/12/2024,1,50 m²
Khelidia,Vente,Maisons,Maison à khelidia,200 000,19/12/2024,N/A,191 m²
Bou Mhel,Terrain,Terrain nu,Terrain à boumhel,90 000,19/12/2024,N/A,225 m²
Ain Zaghouan,Location,App. 3 pièc,Appartement s2 à ain zag,1 200,19/12/2024,2,1 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 courte durée,630,19/12/2024,1,N/A
Cite Taher Hadd,Terrain,Terrain nu,Terrain nu à mourouj4,97 000,19/12/2024,N/A,96 m²
Kalaa Essghira,Terrain,Terrain nu,Terrain 1075m zone des v,483 750,19/12/2024,N/A,1 075 m²
Riadh Landlous,Location,App. 2 pièc,S1 neuf richement meublé,1 250,19/12/2024,1,N/A
Khezama Ouest,Terrain,Terrain nu,Lot 694m derrière carref,867 500,19/12/2024,N/A,694 m²
Cite Ennasr 2,Location,App. 2 pièc,Superbe s1 entièrement m,1 300,19/12/2024,1,N/A
El Mourouj,Vente,Maisons,Maison r 2 mrj 3,360 000,19/12/2024,N/A,250 m²
Marsa Safsaf,Location vacance,App. 2 pièc,Comme chez vous pour des,350,19/12/2024,1,55 m²
Mohamadia,Terrain,Terrain nu,Terrain a lmhamdia,60 000,19/12/2024,N/A,127 m²
Mutuelle Ville,Location,App. 5 pièc,S4 neuf pour habitation,2 400,19/12/2024,4,N/A
Marsa Safsaf,Location,App. 2 pièc,Appartement vu sur mère a la,3 600,19/12/2024,1,50 m²
Cite Du Stade,Vente,Maisons,Villa a la marsa,1 000 000,19/12/2024,N/A,350 m²
Cite Du Stade,Vente,Maisons,Maison a la marsa ville,1 400 000,19/12/2024,N/A,538 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 haut standing,970,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 2 pièc,Bel s1 haut standing,900,19/12/2024,1,N/A
El Menzah 9,Location,App. 3 pièc,S2 très haut standing,1 400,19/12/2024,2,N/A
El Menzah 9,Location,Maisons,Duplex de haut standing,2 000,19/12/2024,N/A,N/A
Charguia 2,Location,App. 5 pièc,Immense demeure avec pis,8 500,19/12/2024,4,N/A
El Menzah 1,Location,Maisons,Superbe villa avec pisci,6 000,19/12/2024,N/A,N/A
Mutuelle Ville,Vente,Maisons,Villa sur artère princip,1 950 000,19/12/2024,N/A,800 m²
Cite Ennacim,Location,Maisons,Etage de villa s2 me,1 000,19/12/2024,2,110 m²
Jardins de Cart,Location,App. 2 pièc,S1 meublé aux jardins de,1 500,19/12/2024,1,1 m²
Zone Hoteliere,Terrain,Terrain agr,Train 312 m  hammamet su,78 000,19/12/2024,N/A,312 m²
La Soukra,Location,Maisons,Une villa avec piscine à,4 700,19/12/2024,N/A,N/A
El Mourouj,Vente,Maisons,Maison trois niveaux,225 000,19/12/2024,N/A,270 m²
El Mourouj,Location,Maisons,Rdc d'une maison mrj 3,480,19/12/2024,N/A,70 m²
Bizerte,Vente,App. 3 pièc,Villa villa,700 000,19/12/2024,2,600 m²
Bizerte,Location,App. 1 pièc,Local commercial,3 000,19/12/2024,0,N/A
Jardins de Cart,Location,App. 1 pièc,Un appartement s1 meublé,1 500,19/12/2024,0,1 m²
Cite Ain Mariem,Vente,App. 2 pièc,Appartement ain mariem b,270 000,19/12/2024,1,290 m²
Khelidia,Vente,Maisons,Maison à khelidia,200 000,19/12/2024,N/A,191 m²
Bou Mhel,Terrain,Terrain nu,Terrain à boumhel,90 000,19/12/2024,N/A,225 m²
Ain Zaghouan,Location,App. 3 pièc,Appartement s2 à ain zag,1 200,19/12/2024,2,1 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 courte durée,630,19/12/2024,1,N/A
Cite Taher Hadd,Terrain,Terrain nu,Terrain nu à mourouj4,97 000,19/12/2024,N/A,96 m²
Kalaa Essghira,Terrain,Terrain nu,Terrain 1075m zone des v,483 750,19/12/2024,N/A,1 075 m²
Riadh Landlous,Location,App. 2 pièc,S1 neuf richement meublé,1 250,19/12/2024,1,N/A
Khezama Ouest,Terrain,Terrain nu,Lot 694m derrière carref,867 500,19/12/2024,N/A,694 m²
Cite Ennasr 2,Location,App. 2 pièc,Superbe s1 entièrement m,1 300,19/12/2024,1,N/A
El Mourouj,Vente,Maisons,Maison r 2 mrj 3,360 000,19/12/2024,N/A,250 m²
Marsa Safsaf,Location vacance,App. 2 pièc,Comme chez vous pour des,350,19/12/2024,1,55 m²
Mohamadia,Terrain,Terrain nu,Terrain a lmhamdia,60 000,19/12/2024,N/A,127 m²
Mutuelle Ville,Location,App. 5 pièc,S4 neuf pour habitation,2 400,19/12/2024,4,N/A
Marsa Safsaf,Location,App. 2 pièc,Appartement vu sur mère a la,3 600,19/12/2024,1,50 m²
Cite Du Stade,Vente,Maisons,Villa a la marsa,1 000 000,19/12/2024,N/A,350 m²
Cite Du Stade,Vente,Maisons,Maison a la marsa ville,1 400 000,19/12/2024,N/A,538 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 haut standing,970,19/12/2024,1,N/A
El Mourouj,Vente,Maisons,Maison r 2 mrj 3,360 000,19/12/2024,N/A,250 m²
Marsa Safsaf,Location vacance,App. 2 pièc,Comme chez vous pour des,350,19/12/2024,1,55 m²
Mohamadia,Terrain,Terrain nu,Terrain a lmhamdia,60 000,19/12/2024,N/A,127 m²
Mutuelle Ville,Location,App. 5 pièc,S4 neuf pour habitation,2 400,19/12/2024,4,N/A
Marsa Safsaf,Location,App. 2 pièc,Appartement vu sur mère a la,3 600,19/12/2024,1,50 m²
Cite Du Stade,Vente,Maisons,Villa a la marsa,1 000 000,19/12/2024,N/A,350 m²
Cite Du Stade,Vente,Maisons,Maison a la marsa ville,1 400 000,19/12/2024,N/A,538 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 haut standing,970,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 2 pièc,Bel s1 haut standing,900,19/12/2024,1,N/A
El Menzah 9,Location,App. 3 pièc,S2 très haut standing,1 400,19/12/2024,2,N/A
El Menzah 9,Location,Maisons,Duplex de haut standing,2 000,19/12/2024,N/A,N/A
Charguia 2,Location,App. 5 pièc,Immense demeure avec pis,8 500,19/12/2024,4,N/A
El Menzah 1,Location,Maisons,Superbe villa avec pisci,6 000,19/12/2024,N/A,N/A
Mutuelle Ville,Vente,Maisons,Villa sur artère princip,1 950 000,19/12/2024,N/A,800 m²
Cite Ennacim,Location,Maisons,Etage de villa s2 me,1 000,19/12/2024,2,110 m²
Jardins de Cart,Location,App. 2 pièc,S1 meublé aux jardins de,1 500,19/12/2024,1,1 m²
Berge Du Lac,Location,Maisons,Villa s5 avec piscine au,8 000,19/12/2024,5,550 m²
Marsa Ennassim,Location,Maisons,Villa s4 à la marsa mvl1,5 000,19/12/2024,4,400 m²
Sidi Daoud,Location,Maisons,Villa s4 avec piscine à,4 000,19/12/2024,4,1 m²
Ain Zaghouan,Location,App. 1 pièc,Studio avec jardins burea,800,19/12/2024,0,60 m²
Cite Ennasr 2,Location,App. 1 pièc,Particulier l s1 meublé,1 200,19/12/2024,0,75 m²
El Aouina,Location,App. 1 pièc,S plus 1 meuble el wahat aoui,1 350,19/12/2024,0,70 m²
El Aouina,Location,App. 2 pièc,S2 meublé pour étranger,1 250,19/12/2024,1,104 m²
Sidi Bou Ali,Terrain,Terrain agr,Ferme 14252 avec villa s,300 000,19/12/2024,N/A,14 252 m²
El Menzah 9,Vente,Maisons,Villa jumlee a menzah 9c,1 200 000,19/12/2024,N/A,350 m²
El Aouina,Vente,App. 3 pièc,S plus 2 wahat tel 58258,250 000,19/12/2024,2,80 m²
Sakiet Ezzit,Vente,Maisons,Belle villa à teniour,690 000,19/12/2024,N/A,1 070 m²
El Aouina,Location,App. 3 pièc,S plus 2 lac 2 tel 58258,2 000,19/12/2024,2,120 m²
El Aouina,Vente,App. 4 pièc,S plus 3 el aouina tel 5,320 000,19/12/2024,3,132 m²
Jardins de Cart,Location,App. 2 pièc,Un appartement s2 meublé,2 800,19/12/2024,1,1 m²
Le Kram Est,Vente,Surfaces,Local double hauteur 180m2 le,350 000,19/12/2024,N/A,180 m²
Ain Zaghouan,Location,App. 4 pièc,Bel appartement s3 aux ain za,1 500,19/12/2024,3,140 m²
El Aouina,Location,App. 2 pièc,Coquet appartement s1 vide au,850,19/12/2024,1,60 m²
Rades,Vente,Autre,Dépôt rades 7400m en charpent,10 000,19/12/2024,N/A,7 400 m²
Marsa Safsaf,Location,App. 3 pièc,Etage s2 indépendante vue sur,3 500,19/12/2024,2,100 m²
Le Kram,Location,App. 2 pièc,Suite à cité office apparteme,850,19/12/2024,1,65 m²
El Aouina,Location,App. 3 pièc,Aux aouina bel appartement s2,1 100,19/12/2024,2,90 m²
Ain Zaghouan,Location,App. 3 pièc,S plus deux bien orienté,1 000,19/12/2024,2,90 m²
Ain Zaghouan,Location,App. 4 pièc,Aux ain zaghouan bel appartem,1 500,19/12/2024,3,140 m²
Jardins de Cart,Location,App. 1 pièc,Un appartement s1 vide z,1 800,19/12/2024,0,1 m²
El Menzah 9,Location,App. 2 pièc,Un appartement s 1 el ma,900,19/12/2024,1,75 m²
El Aouina,Vente,App. 2 pièc,Réf 79v une coquette appartem,230 000,19/12/2024,1,70 m²
Hammamet,Location,App. 3 pièc,Appartement belle de nui,1 250,19/12/2024,2,N/A
La Soukra,Vente,Maisons,Réf 43v très belle villa suit,1 400 000,19/12/2024,N/A,540 m²
Ariana,Vente,Maisons,Réf 77v villa de 3 niveaux au,750 000,19/12/2024,N/A,450 m²
Jardins d'el Me,Bureaux & Commer,Gérance lib,Local commercial à j,2 800,19/12/2024,N/A,96 m²
Jardins de Cart,Vente,App. 2 pièc,S1 avec jardin aux j,410 000,19/12/2024,1,70 m²
Cite Ennour Jaa,Vente,App. 4 pièc,Appartement s3 à nour ja,150 000,19/12/2024,3,99 m²
Ain Zaghouan,Location,App. 1 pièc,Un appartement s1 meublé,1 200,19/12/2024,0,1 m²
Hammamet,Location,App. 4 pièc,S plus 3 a la cité a,1 000,19/12/2024,3,110 m²
Khelidia,Vente,Maisons,Maison à khelidia,200 000,19/12/2024,N/A,191 m²
Bou Mhel,Terrain,Terrain nu,Terrain à boumhel,90 000,19/12/2024,N/A,225 m²
Ain Zaghouan,Location,App. 3 pièc,Appartement s2 à ain zag,1 200,19/12/2024,2,1 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 courte durée,630,19/12/2024,1,N/A
Cite Taher Hadd,Terrain,Terrain nu,Terrain nu à mourouj4,97 000,19/12/2024,N/A,96 m²
Kalaa Essghira,Terrain,Terrain nu,Terrain 1075m zone des v,483 750,19/12/2024,N/A,1 075 m²
Riadh Landlous,Location,App. 2 pièc,S1 neuf richement meublé,1 250,19/12/2024,1,N/A
Khezama Ouest,Terrain,Terrain nu,Lot 694m derrière carref,867 500,19/12/2024,N/A,694 m²
Cite Ennasr 2,Location,App. 2 pièc,Superbe s1 entièrement m,1 300,19/12/2024,1,N/A
El Mourouj,Vente,Maisons,Maison r 2 mrj 3,360 000,19/12/2024,N/A,250 m²
Marsa Safsaf,Location vacance,App. 2 pièc,Comme chez vous pour des,350,19/12/2024,1,55 m²
Mohamadia,Terrain,Terrain nu,Terrain a lmhamdia,60 000,19/12/2024,N/A,127 m²
Mutuelle Ville,Location,App. 5 pièc,S4 neuf pour habitation,2 400,19/12/2024,4,N/A
Marsa Safsaf,Location,App. 2 pièc,Appartement vu sur mère a la,3 600,19/12/2024,1,50 m²
Cite Du Stade,Vente,Maisons,Villa a la marsa,1 000 000,19/12/2024,N/A,350 m²
Cite Du Stade,Vente,Maisons,Maison a la marsa ville,1 400 000,19/12/2024,N/A,538 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 haut standing,970,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 2 pièc,Bel s1 haut standing,900,19/12/2024,1,N/A
El Menzah 9,Location,App. 3 pièc,S2 très haut standing,1 400,19/12/2024,2,N/A
El Menzah 9,Location,Maisons,Duplex de haut standing,2 000,19/12/2024,N/A,N/A
Charguia 2,Location,App. 5 pièc,Immense demeure avec pis,8 500,19/12/2024,4,N/A
El Menzah 1,Location,Maisons,Superbe villa avec pisci,6 000,19/12/2024,N/A,N/A
Mutuelle Ville,Vente,Maisons,Villa sur artère princip,1 950 000,19/12/2024,N/A,800 m²
Cite Ennacim,Location,Maisons,Etage de villa s2 me,1 000,19/12/2024,2,110 m²
Jardins de Cart,Location,App. 2 pièc,S1 meublé aux jardins de,1 500,19/12/2024,1,1 m²
El Aouina,Vente,App. 3 pièc,S plus 2 wahat tel 58258,250 000,19/12/2024,2,80 m²
Sakiet Ezzit,Vente,Maisons,Belle villa à teniour,690 000,19/12/2024,N/A,1 070 m²
El Aouina,Location,App. 3 pièc,S plus 2 lac 2 tel 58258,2 000,19/12/2024,2,120 m²
El Aouina,Vente,App. 4 pièc,S plus 3 el aouina tel 5,320 000,19/12/2024,3,132 m²
Jardins de Cart,Location,App. 2 pièc,Un appartement s2 meublé,2 800,19/12/2024,1,1 m²
Le Kram Est,Vente,Surfaces,Local double hauteur 180m2 le,350 000,19/12/2024,N/A,180 m²
Ain Zaghouan,Location,App. 4 pièc,Bel appartement s3 aux ain za,1 500,19/12/2024,3,140 m²
El Aouina,Location,App. 2 pièc,Coquet appartement s1 vide au,850,19/12/2024,1,60 m²
Rades,Vente,Autre,Dépôt rades 7400m en charpent,10 000,19/12/2024,N/A,7 400 m²
Marsa Safsaf,Location,App. 3 pièc,Etage s2 indépendante vue sur,3 500,19/12/2024,2,100 m²
Le Kram,Location,App. 2 pièc,Suite à cité office apparteme,850,19/12/2024,1,65 m²
El Aouina,Location,App. 3 pièc,Aux aouina bel appartement s2,1 100,19/12/2024,2,90 m²
Ain Zaghouan,Location,App. 3 pièc,S plus deux bien orienté,1 000,19/12/2024,2,90 m²
Ain Zaghouan,Location,App. 4 pièc,Aux ain zaghouan bel appartem,1 500,19/12/2024,3,140 m²
Jardins de Cart,Location,App. 1 pièc,Un appartement s1 vide z,1 800,19/12/2024,0,1 m²
El Menzah 9,Location,App. 2 pièc,Un appartement s 1 el ma,900,19/12/2024,1,75 m²
El Aouina,Vente,App. 2 pièc,Réf 79v une coquette appartem,230 000,19/12/2024,1,70 m²
Hammamet,Location,App. 3 pièc,Appartement belle de nui,1 250,19/12/2024,2,N/A
La Soukra,Vente,Maisons,Réf 43v très belle villa suit,1 400 000,19/12/2024,N/A,540 m²
Ariana,Vente,Maisons,Réf 77v villa de 3 niveaux au,750 000,19/12/2024,N/A,450 m²
Jardins d'el Me,Bureaux & Commer,Gérance lib,Local commercial à j,2 800,19/12/2024,N/A,96 m²
Jardins de Cart,Vente,App. 2 pièc,S1 avec jardin aux j,410 000,19/12/2024,1,70 m²
Cite Ennour Jaa,Vente,App. 4 pièc,Appartement s3 à nour ja,150 000,19/12/2024,3,99 m²
Ain Zaghouan,Location,App. 1 pièc,Un appartement s1 meublé,1 200,19/12/2024,0,1 m²
Hammamet,Location,App. 4 pièc,S plus 3 a la cité a,1 000,19/12/2024,3,110 m²
Khelidia,Vente,Maisons,Maison à khelidia,200 000,19/12/2024,N/A,191 m²
Bou Mhel,Terrain,Terrain nu,Terrain à boumhel,90 000,19/12/2024,N/A,225 m²
Ain Zaghouan,Location,App. 3 pièc,Appartement s2 à ain zag,1 200,19/12/2024,2,1 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 courte durée,630,19/12/2024,1,N/A
Cite Taher Hadd,Terrain,Terrain nu,Terrain nu à mourouj4,97 000,19/12/2024,N/A,96 m²
Kalaa Essghira,Terrain,Terrain nu,Terrain 1075m zone des v,483 750,19/12/2024,N/A,1 075 m²
Riadh Landlous,Location,App. 2 pièc,S1 neuf richement meublé,1 250,19/12/2024,1,N/A
Khezama Ouest,Terrain,Terrain nu,Lot 694m derrière carref,867 500,19/12/2024,N/A,694 m²
Cite Ennasr 2,Location,App. 2 pièc,Superbe s1 entièrement m,1 300,19/12/2024,1,N/A
El Mourouj,Vente,Maisons,Maison r 2 mrj 3,360 000,19/12/2024,N/A,250 m²
Marsa Safsaf,Location vacance,App. 2 pièc,Comme chez vous pour des,350,19/12/2024,1,55 m²
Mohamadia,Terrain,Terrain nu,Terrain a lmhamdia,60 000,19/12/2024,N/A,127 m²
Mutuelle Ville,Location,App. 5 pièc,S4 neuf pour habitation,2 400,19/12/2024,4,N/A
Marsa Safsaf,Location,App. 2 pièc,Appartement vu sur mère a la,3 600,19/12/2024,1,50 m²
Cite Du Stade,Vente,Maisons,Villa a la marsa,1 000 000,19/12/2024,N/A,350 m²
Cite Du Stade,Vente,Maisons,Maison a la marsa ville,1 400 000,19/12/2024,N/A,538 m²
Cite Ennasr 2,Location,App. 2 pièc,S1 haut standing,970,19/12/2024,1,N/A
Cite Ennasr 2,Location,App. 2 pièc,Bel s1 haut standing,900,19/12/2024,1,N/A
El Menzah 9,Location,App. 3 pièc,S2 très haut standing,1 400,19/12/2024,2,N/A
El Menzah 9,Location,Maisons,Duplex de haut standing,2 000,19/12/2024,N/A,N/A
Charguia 2,Location,App. 5 pièc,Immense demeure avec pis,8 500,19/12/2024,4,N/A
El Menzah 1,Location,Maisons,Superbe villa avec pisci,6 000,19/12/2024,N/A,N/A
Mutuelle Ville,Vente,Maisons,Villa sur artère princip,1 950 000,19/12/2024,N/A,800 m²
Cite Ennacim,Location,Maisons,Etage de villa s2 me,1 000,19/12/2024,2,110 m²
Jardins de Cart,Location,App. 2 pièc,S1 meublé aux jardins de,1 500,19/12/2024,1,1 m²
Bab Bhar,Bureaux & Commer,Bureau,Immeuble 2700 m centre v,54 700,19/12/2024,N/A,2 700 m²
Berge Du Lac,Vente,Autre,Terrain sup 2510 m r3 au,13 805 000,19/12/2024,N/A,2 510 m²
Mutuelle Ville,Location,Autre,Immeuble prestigieux 4 n,56 000,19/12/2024,N/A,2 400 m²
Cite Bhar Lazre,Location,Surfaces,Dépôt bhar lazreg 500m,5 000,19/12/2024,N/A,500 m²
Le Kram,Location,Autre,Plateau 417 m en h10 au,9 420,19/12/2024,N/A,417 m²
Berge Du Lac,Location,Autre,Plateau 415 m en h11 au,8 300,19/12/2024,N/A,415 m²
Le Bardo,Vente,Maisons,Maison henda bardo,750 000,19/12/2024,N/A,600 m²
El Mourouj,Vente,App. 3 pièc,Apprt mourouj 3,130 000,19/12/2024,2,85 m²
Berge Du Lac,Location,Autre,Plateau 308 m en h9 au b,6 500,19/12/2024,N/A,308 m²
El Mourouj,Vente,Duplex,Duplex mourouj 1,570 000,19/12/2024,N/A,460 m²
Fouchana,Location,Maisons,Rdc d'une maison fouchen,500,19/12/2024,N/A,90 m²
Jardins de Cart,Location,App. 3 pièc,Un rez de chaussée de vi,2 400,19/12/2024,2,1 m²
El Mourouj,Vente,Maisons,Maison dalila,260 000,19/12/2024,N/A,101 m²
Chatt Meriem,Location,App. 1 pièc,annuelle un appartemen,1 300,19/12/2024,0,1 m²
Cite Bhar Lazre,Location,Surfaces,Dépôt bhar lazreg 800m2,7 000,19/12/2024,N/A,800 m²
El Menzah 9,Location,Duplex,Duplex avec jardin à men,2 000,19/12/2024,N/A,140 m²
Sousse,Location,App. 2 pièc,S2 kantaoui,600,19/12/2024,1,N/A
Jardins d'el Me,Location,App. 4 pièc,Usage bureautique ou hab,1 500,19/12/2024,3,200 m²
La Soukra,Location,App. 3 pièc,Un appartement s3à la so,3 000,19/12/2024,2,1 m²
Cite Ennasr 2,Location,App. 3 pièc,S2 meublé à  ennasr 2,1 200,19/12/2024,2,N/A
