Location,Type,Category,Description,Price,Date,Rooms,Surface,PC1,PC2,PC3
Berge Du Lac,Location,App. 3 pièc,Petit bureau au lac 1,2270,19/12/2024,2,100,-0.11155348834506056,-0.13466501274146528,0.19711954860129569
El Aouina,Location,App. 2 pièc,S plus 2 meuble wahat ao,1200,19/12/2024,1,110,-0.6411546291011785,-0.03374072187467943,-0.4174735257901918
Kelibia,Vente,App. 2 pièc,Appartement prestigieuse,185000,19/12/2024,1,100,-0.5044763639430437,0.3454843269670166,-0.46971002337598183
El Aouina,Vente,App. 3 pièc,S plus deux bien ensolei,245000,19/12/2024,2,100,0.09596005271050297,0.34883826567131526,0.09975424466376089
Ain Zaghouan,Location,App. 2 pièc,S plus deux jamais habit,1200,19/12/2024,1,100,-0.6616097584390376,-0.020634004398159028,-0.39598307218033685
Ain Zaghouan,Location,App. 2 pièc,S plus un neuf à la nouv,1000,19/12/2024,1,65,-0.7333736941405823,0.024841119031506546,-0.3206862593541191
Kelibia,Location vacance,App. 3 pièc,Villa avec terrasse vue,5800,19/12/2024,2,100,-0.10853563805903847,-0.12763346916301552,0.19570357396734234
Hammam El Gheza,Vente,App. 2 pièc,Nouveau projet immobilie,200000,19/12/2024,1,100,-0.4916526375151878,0.37536340732870116,-0.475726912755387
Hammam Chatt,Location,App. 4 pièc,Appart s3 à hammam c,131,19/12/2024,3,120,0.4766696178841685,-0.28130158729652205,0.7485284753644524
Le Bardo,Location,App. 3 pièc,Appartement  centre ville men,600,19/12/2024,2,250,0.19384574351385706,-0.33459231250287197,-0.12456737519562157
Cite Ennasr 2,Location,App. 2 pièc,S1 de haut standing,900,19/12/2024,1,73,-0.717095082179814,0.014156551181212314,-0.3378385096461404
Megrine Riadh,Location,App. 1 pièc,Belle occasion,370,19/12/2024,0,70,-1.272826236923746,0.13319522166049538,-0.924710602362475
El Menzah 7,Vente,App. 4 pièc,Coquette duplexe,8500000,19/12/2024,3,268,8.046071847325335,16.45593692170377,-2.9790483388904296
Marsa Ennassim,Location,App. 4 pièc,Etage de villa a la mars,1700,19/12/2024,3,160,0.5598314970199583,-0.3306031053967714,0.6619372942959468
Jardins d'el Me,Location,Maisons,Belle villa s5 habitatio,3500,19/12/2024,5,307,1.9603437673420752,-0.7520111281430985,1.5323692506202773
Berge Du Lac,Location,Maisons,Villa haut standing s6,9500,19/12/2024,6,940,3.809424455941818,-1.685877095004605,0.7631486069220597
Berge Du Lac,Location,App. 4 pièc,Appartement s3 lac2,3100,19/12/2024,3,220,0.683759154180379,-0.40645469608880314,0.5324329962947393
Cite Ezzouhour,Location,App. 3 pièc,Coquette bireaux,500,19/12/2024,2,200,0.09148460531504282,-0.2692579189893479,-0.01707499455048407
El Aouina,Location,App. 2 pièc,Particulier l apt s2 meu,1250,19/12/2024,1,104,-0.6533849609491343,-0.025777094454228194,-0.40459930992221016
El Manar 1,Vente,Maisons,Grande villa s6 avec gra,1300000,19/12/2024,6,940,4.912692386285017,0.8847197854456623,0.24549555731389963
El Menzah 7,Location,App. 3 pièc,Alyssounoussa,1100,19/12/2024,2,68,-0.17801015288758226,-0.09505408508481147,0.2663583175244252
Cite Ennasr 2,Location,App. 2 pièc,Bureau h1 très haut stan,1500,19/12/2024,1,73,-0.7165821331226998,0.015351714395679701,-0.3380791852213166
Sidi Daoud,Location,App. 3 pièc,Appartement s2 meublé a,2500,19/12/2024,2,130,-0.04999146985958967,-0.17352701927214728,0.13255592880124661
Cite Ennasr 2,Location,App. 4 pièc,Penthouse s3 de très hau,3500,19/12/2024,3,160,0.561370344191301,-0.32701761575336924,0.6612152675704182
El Menzah 5,Location,App. 4 pièc,S3 haut standing meublé,2800,19/12/2024,3,160,0.5607719036246678,-0.32841197283691453,0.6614960557414571
Hergla,Vente,App. 3 pièc,Offre appartement s2 neu,297000,19/12/2024,2,120,0.18132589633612134,0.42620564263878125,0.03591478759544629
Jardins de Cart,Location,App. 4 pièc,Rez de chaussée meublé a,4500,19/12/2024,3,400,1.0531483633951082,-0.6395868964990795,0.1450432549752722
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé de h,2300,19/12/2024,3,160,0.5603444460770726,-0.329407942182304,0.6616966187207706
Mutuelle Ville,Location,App. 4 pièc,S3 vide ou meublé de hau,2400,19/12/2024,3,160,0.5604299375865915,-0.3292087483132261,0.6616565061249079
El Menzah 5,Location,App. 4 pièc,S3 très haut standing ri,2200,19/12/2024,3,160,0.5602589545675535,-0.3296071360513819,0.6617367313166334
Sidi Daoud,Location,App. 4 pièc,Appartement s3 la marsa,2100,19/12/2024,3,200,0.6419939804094706,-0.38223319982654136,0.5758150294730762
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé,2000,19/12/2024,3,160,0.5600879715485154,-0.3300055237895377,0.6618169565083587
