Location,Type,Category,Description,Price,Date,Rooms,Surface
Carthage,Location,Maisons,Villa s4 avec piscine a,7 500,19/12/2024,4,225.45569620253164
Carthage,Location,Maisons,Villa s5 carthage,5 500,19/12/2024,5,400.0
Marsa Safsaf,Location,App. 2 pièc,Etage de villa s1 meubl,900,19/12/2024,1,73.062
El Aouina,Location,App. 3 pièc,Appt s2 meublé à la nouv,2 000,19/12/2024,2,115.0
Ben Arous,Location,App. 2 pièc,Bureau clare  à ben,1 500,19/12/2024,1,145.0
Cite Ennasr 2,Location,App. 4 pièc,Appart s3 à ennasr 2 cot,1 150,19/12/2024,3,160.0
La Soukra,Location,App. 3 pièc,Appartement s2 à chotran,1 700,19/12/2024,2,100.0
Cite Ennasr 2,Location,App. 3 pièc,Appart s2 vide à ennasr,1 050,19/12/2024,2,100.0
Cite Mohamed Al,Vente,App. 3 pièc,S2 au rez de chaussé,92 000,19/12/2024,2,60.0
Bizerte,Location,App. 2 pièc,Villa à malouf bizerte,200,19/12/2024,1,73.062
Bizerte,Vente,App. 2 pièc,Appartement bizerte cent,260 000,19/12/2024,1,85.0
Cite Ennasr 2,Location,App. 2 pièc,Un appartement s 1 à cit,900,19/12/2024,1,83.0
Marsa Ennassim,Location,App. 4 pièc,Appartement avec jardin,3 000,19/12/2024,3,200.0
Berge Du Lac,Location vacance,App. 1 pièc,A 10 minute de l'aéropor,1 500,19/12/2024,0,51.0
Hammam Lif,Vente,App. 3 pièc,Duplex avec local comerc,190 000,19/12/2024,2,113.0
Hammam Chatt,Location,App. 4 pièc,Appartement s2 a hammam,390,19/12/2024,3,70.0
Cite Ezzouhour,Location,App. 2 pièc,Pour couple ou une petite fam,450,19/12/2024,1,80.0
Cite Jardins,Location,Maisons,Etage de villa s3 bu,1 150,19/12/2024,3,80.0
El Mourouj,Location,App. 3 pièc,Appartement richement me,800,19/12/2024,2,80.0
Hedi Chaker,Location,App. 2 pièc,Cote bourguiba school semi me,900,19/12/2024,1,70.0
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement s1 à bha,90 000,19/12/2024,1,100.0
Cite El Hidhab,Location,App. 2 pièc,Un joli appartement bon,550,19/12/2024,1,100.0
Cite Bhar Lazre,Vente,App. 2 pièc,Appartement s2 à bha,100 000,19/12/2024,1,100.0
El Manar 1,Vente,App. 3 pièc,Manar 1 s3 de 90m2 proch,234 000,19/12/2024,2,90.0
Cite Ennasr 2,Location,App. 5 pièc,Ennasr 2 joli appt s3 bi,1 450,19/12/2024,4,150.0
El Aouina,Vente,App. 4 pièc,L'aouina joli appt s2 bi,290 000,19/12/2024,3,100.0
Cite Ennasr 2,Location,App. 2 pièc,S1 état presque neuf,1 200,19/12/2024,1,80.0
El Menzah 8,Location,App. 5 pièc,Spacieux s4,1 400,19/12/2024,4,225.45569620253164
Cite Ennasr 1,Location,App. 5 pièc,S4 étage de villa habita,1 250,19/12/2024,4,225.45569620253164
Bou Mhel,Location,App. 2 pièc,Étage de villa s2 a boumhel b,900,19/12/2024,1,100.0
Cite Ennasr 2,Location,App. 2 pièc,S1 meublé courte durée h,560,19/12/2024,1,73.062
Cite Ennasr 2,Location,App. 3 pièc,S2 pour usage bureau,1 200,19/12/2024,2,121.43717728055077
El Manar 2,Location,App. 4 pièc,Bureau 4 pièces,1 400,19/12/2024,3,160.4433656957929
Cite Ennasr 2,Vente,App. 1 pièc,S3 ennaser 2 ref154a,400 000,19/12/2024,0,124.0
Jardins d'el Me,Vente,App. 1 pièc,S2 jardin menzah 2 ref15,330 000,19/12/2024,0,114.0
Cite Ennasr 2,Location,App. 5 pièc,S4 à usage habitation ou,1 400,19/12/2024,4,225.45569620253164
Cite Oplympique,Vente,App. 1 pièc,Appart s3 cité olympique,304 000,19/12/2024,0,160.0
Sidi Daoud,Location,App. 2 pièc,Coquette appartement s1 vide,1 250,19/12/2024,1,110.0
El Manar 2,Location,App. 3 pièc,S2 meublé de haut standi,1 400,19/12/2024,2,121.43717728055077
Cite Ennasr 2,Location,App. 4 pièc,S3 pour courte durée,150,19/12/2024,3,160.4433656957929
Cite Ennasr 2,Location,App. 4 pièc,S3 richement meublé de t,2 800,19/12/2024,3,160.4433656957929
La Soukra,Vente,App. 4 pièc,Appt haut standing,355 000,19/12/2024,3,144.0
El Menzah 9,Location,Maisons,Villa s6 à usage commerc,3 000,19/12/2024,6,940.0
Hammam El Gheza,Vente,App. 3 pièc,Villa avec studio a keli,150 000,19/12/2024,2,220.0
Sousse Corniche,Vente,App. 4 pièc,Bord de mer vue mer,370 000,19/12/2024,3,190.0
El Aouina,Vente,App. 3 pièc,Un s2 à cité palmeraies,280 000,19/12/2024,2,116.0
Ain Zaghouan,Location,App. 2 pièc,Appartement s1 à ain zag,1 000,19/12/2024,1,60.0
Kelibia,Vente,App. 3 pièc,Appartement  avec vue im,280 000,19/12/2024,2,125.0
El Aouina,Location,App. 2 pièc,Appt s plus 2 meublée a,1 900,19/12/2024,1,120.0
Jardins de Cart,Location,App. 1 pièc,appartement au jardin d,3 200,19/12/2024,0,250.0
El Mourouj,Vente,App. 2 pièc,Bel appartement mrj 5,90 000,19/12/2024,1,74.0
El Aouina,Vente,App. 3 pièc,Un appartement s2 à cité,430 000,19/12/2024,2,100.0
El Mourouj 2,Vente,App. 4 pièc,Appartement mourouj 2,110 000,19/12/2024,3,90.0
El Mourouj,Location,App. 1 pièc,Studio mrj3,250,19/12/2024,0,178.3842105263158
Hammamet,Location,App. 3 pièc,Appartement fakher 1 ref,1 350,19/12/2024,2,100.0
La Soukra,Vente,App. 3 pièc,New appartement,325 000,19/12/2024,2,165.0
La Soukra,Location,App. 3 pièc,Appartement s2 à la souk,1 600,19/12/2024,2,100.0
Gammart,Location,App. 4 pièc,Maison avec tres grand j,4 450,19/12/2024,3,255.0
Marsa Safsaf,Location,App. 3 pièc,Appartement tout neuf vu,3 600,19/12/2024,2,100.0
Gammart,Location,App. 4 pièc,Appartement haut standin,4 950,19/12/2024,3,190.0
Sidi Frej,Vente,App. 3 pièc,Apparetment au premier e,315 000,19/12/2024,2,110.0
El Menzah 5,Location,Maisons,Villa s4 plain pied avec,2 500,19/12/2024,4,600.0
Ariana,Location,App. 3 pièc,Appartement s2 côté esprit,850,19/12/2024,2,85.0
El Aouina,Vente,App. 3 pièc,Un s2 à l'aouina,370 000,19/12/2024,2,120.0
Cite El Khalil,Location,App. 3 pièc,Eatge de villa a la marsa,1 000,19/12/2024,2,200.0
Hammamet,Vente,App. 3 pièc,Villa hamammet nord 750,750 000,19/12/2024,2,200.0
Bou Mhel,Location,App. 3 pièc,Bureau haut standing s3 à bou,950,19/12/2024,2,120.0
Bou Mhel,Location,App. 3 pièc,Étage de villa s3 à boumhel,1 400,19/12/2024,2,130.0
El Manar 2,Location,App. 3 pièc,Offre s3 manar 3 1550dt,1 550,19/12/2024,2,100.0
Cite Ennasr 2,Location,App. 4 pièc,Appart a ennasr 2,1 200,19/12/2024,3,105.0
Kelibia,Vente,App. 2 pièc,Appartement au deuxieme,235 000,19/12/2024,1,95.0
Ain Zaghouan,Vente,App. 4 pièc,U s3 à ain zaghouan nord,750 000,19/12/2024,3,172.0
Berge Du Lac,Location,App. 5 pièc,Appartement s4 au lac 2,3 500,19/12/2024,4,230.0
Berge Du Lac,Location,App. 2 pièc,Bureau 2 pieces au lac 2,2 600,19/12/2024,1,108.0
Jardins de Cart,Location,App. 1 pièc,Bureau neuf open space a,254,19/12/2024,0,5800.0
Hergla,Vente,App. 4 pièc,Appartement s3 neuf proc,660 000,19/12/2024,3,200.0
Hergla,Vente,App. 3 pièc,Appartement s2 neuf et p,500 000,19/12/2024,2,120.0
Hedi Chaker,Location,App. 2 pièc,Meublee studio cote lafayette,900,19/12/2024,1,73.0
Ain Zaghouan,Location,App. 1 pièc,Studio avec jardins burea,800,19/12/2024,0,60.0
Cite Ennasr 2,Location,App. 1 pièc,Particulier l s1 meublé,1 200,19/12/2024,0,75.0
El Aouina,Location,App. 1 pièc,S plus 1 meuble el wahat aoui,1 350,19/12/2024,0,70.0
El Aouina,Location,App. 2 pièc,S2 meublé pour étranger,1 250,19/12/2024,1,104.0
El Aouina,Location,App. 5 pièc,Particulier l s4 meublé,2 200,19/12/2024,4,209.0
El Menzah 7,Vente,App. 3 pièc,S2 212 md menzah 7,212 000,19/12/2024,2,90.0
El Menzah 7,Vente,App. 4 pièc,S3 290 md menzah 7,290 000,19/12/2024,3,115.0
El Manar 1,Vente,App. 4 pièc,S4 à manar 1,280 000,19/12/2024,3,100.0
